rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Apple,2911.6,2911.6,2911.6,2911.6,2911.6,2281.4,2281.4,2281.4,2281.4,2281.4,2592.6,2592.6,2592.6,2592.6,2592.6,2527.4,2527.4,2527.4,2527.4,2527.4
Banana,2893,2893,2893,2893,2893,2582.6,2582.6,2582.6,2582.6,2582.6,2395.2,2395.2,2395.2,2395.2,2395.2,2442.2,2442.2,2442.2,2442.2,2442.2
Cherry,2603.6,2603.6,2603.6,2603.6,2603.6,2531.8,2531.8,2531.8,2531.8,2531.8,2776.8,2776.8,2776.8,2776.8,2776.8,2400.8,2400.8,2400.8,2400.8,2400.8
Date,2366.2,2366.2,2366.2,2366.2,2366.2,2907.8,2907.8,2907.8,2907.8,2907.8,2391.6,2391.6,2391.6,2391.6,2391.6,2647.4,2647.4,2647.4,2647.4,2647.4
Eggplant,2542,2542,2542,2542,2542,2680.2,2680.2,2680.2,2680.2,2680.2,2547.2,2547.2,2547.2,2547.2,2547.2,2543.6,2543.6,2543.6,2543.6,2543.6
Fig,2553.8,2553.8,2553.8,2553.8,2553.8,2461.4,2461.4,2461.4,2461.4,2461.4,2786.2,2786.2,2786.2,2786.2,2786.2,2511.6,2511.6,2511.6,2511.6,2511.6
Grape,2616.2,2616.2,2616.2,2616.2,2616.2,2422.8,2422.8,2422.8,2422.8,2422.8,2478.8,2478.8,2478.8,2478.8,2478.8,2795.2,2795.2,2795.2,2795.2,2795.2
Hazelnut,2456.8,2456.8,2456.8,2456.8,2456.8,2581.6,2581.6,2581.6,2581.6,2581.6,2600.6,2600.6,2600.6,2600.6,2600.6,2674,2674,2674,2674,2674
Jalapeno,2603.8,2603.8,2603.8,2603.8,2603.8,2644.8,2644.8,2644.8,2644.8,2644.8,2538.4,2538.4,2538.4,2538.4,2538.4,2526,2526,2526,2526,2526
Kiwi,2849.4,2849.4,2849.4,2849.4,2849.4,2762.2,2762.2,2762.2,2762.2,2762.2,2184.6,2184.6,2184.6,2184.6,2184.6,2516.8,2516.8,2516.8,2516.8,2516.8
Litchi,2542.6,2542.6,2542.6,2542.6,2542.6,2402.2,2402.2,2402.2,2402.2,2402.2,2452,2452,2452,2452,2452,2916.2,2916.2,2916.2,2916.2,2916.2
Mushroom,2554.6,2554.6,2554.6,2554.6,2554.6,2410.6,2410.6,2410.6,2410.6,2410.6,2867.2,2867.2,2867.2,2867.2,2867.2,2480.6,2480.6,2480.6,2480.6,2480.6
Nut,2595.8,2595.8,2595.8,2595.8,2595.8,2546.2,2546.2,2546.2,2546.2,2546.2,2671.6,2671.6,2671.6,2671.6,2671.6,2499.4,2499.4,2499.4,2499.4,2499.4
Orange,2586.4,2586.4,2586.4,2586.4,2586.4,2667.2,2667.2,2667.2,2667.2,2667.2,2494.2,2494.2,2494.2,2494.2,2494.2,2565.2,2565.2,2565.2,2565.2,2565.2
Pear,2393.4,2393.4,2393.4,2393.4,2393.4,2523.6,2523.6,2523.6,2523.6,2523.6,2718.2,2718.2,2718.2,2718.2,2718.2,2677.8,2677.8,2677.8,2677.8,2677.8
Quinoa,2436.8,2436.8,2436.8,2436.8,2436.8,2536.6,2536.6,2536.6,2536.6,2536.6,2550.8,2550.8,2550.8,2550.8,2550.8,2788.8,2788.8,2788.8,2788.8,2788.8
Radish,2614,2614,2614,2614,2614,2957.6,2957.6,2957.6,2957.6,2957.6,2473.2,2473.2,2473.2,2473.2,2473.2,2268.2,2268.2,2268.2,2268.2,2268.2
Soy,2524,2524,2524,2524,2524,2630.2,2630.2,2630.2,2630.2,2630.2,2613.2,2613.2,2613.2,2613.2,2613.2,2545.6,2545.6,2545.6,2545.6,2545.6
Tomato,2658.2,2658.2,2658.2,2658.2,2658.2,2501.8,2501.8,2501.8,2501.8,2501.8,2540.6,2540.6,2540.6,2540.6,2540.6,2612.4,2612.4,2612.4,2612.4,2612.4
Vanilla,2262.8,2262.8,2262.8,2262.8,2262.8,2532.4,2532.4,2532.4,2532.4,2532.4,2892,2892,2892,2892,2892,2625.8,2625.8,2625.8,2625.8,2625.8
