rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Apple,2205.4,2205.4,2205.4,2205.4,2205.4,2514.8,2514.8,2514.8,2514.8,2514.8,2373.4,2373.4,2373.4,2373.4,2373.4,2581.4,2581.4,2581.4,2581.4,2581.4
Banana,2442.2,2442.2,2442.2,2442.2,2442.2,2700.6,2700.6,2700.6,2700.6,2700.6,2250.2,2250.2,2250.2,2250.2,2250.2,2282,2282,2282,2282,2282
Cherry,2512.6,2512.6,2512.6,2512.6,2512.6,2511.4,2511.4,2511.4,2511.4,2511.4,2332,2332,2332,2332,2332,2319,2319,2319,2319,2319
Date,2334.4,2334.4,2334.4,2334.4,2334.4,2251.4,2251.4,2251.4,2251.4,2251.4,2334.6,2334.6,2334.6,2334.6,2334.6,2754.6,2754.6,2754.6,2754.6,2754.6
Eggplant,2461,2461,2461,2461,2461,2407.4,2407.4,2407.4,2407.4,2407.4,2390.6,2390.6,2390.6,2390.6,2390.6,2416,2416,2416,2416,2416
Fig,2334,2334,2334,2334,2334,2657.6,2657.6,2657.6,2657.6,2657.6,2447.2,2447.2,2447.2,2447.2,2447.2,2236.2,2236.2,2236.2,2236.2,2236.2
Grape,2193.2,2193.2,2193.2,2193.2,2193.2,2589.4,2589.4,2589.4,2589.4,2589.4,2705.6,2705.6,2705.6,2705.6,2705.6,2186.8,2186.8,2186.8,2186.8,2186.8
Hazelnut,2119,2119,2119,2119,2119,2634.8,2634.8,2634.8,2634.8,2634.8,2402,2402,2402,2402,2402,2519.2,2519.2,2519.2,2519.2,2519.2
Jalapeno,2337.4,2337.4,2337.4,2337.4,2337.4,2411,2411,2411,2411,2411,2344,2344,2344,2344,2344,2582.6,2582.6,2582.6,2582.6,2582.6
Kiwi,2422.6,2422.6,2422.6,2422.6,2422.6,2387.6,2387.6,2387.6,2387.6,2387.6,2561,2561,2561,2561,2561,2303.8,2303.8,2303.8,2303.8,2303.8
Litchi,2565,2565,2565,2565,2565,2200,2200,2200,2200,2200,2583.2,2583.2,2583.2,2583.2,2583.2,2326.8,2326.8,2326.8,2326.8,2326.8
Mushroom,2256.4,2256.4,2256.4,2256.4,2256.4,2485.4,2485.4,2485.4,2485.4,2485.4,2538.4,2538.4,2538.4,2538.4,2538.4,2394.8,2394.8,2394.8,2394.8,2394.8
Nut,2303,2303,2303,2303,2303,2524.6,2524.6,2524.6,2524.6,2524.6,2260.8,2260.8,2260.8,2260.8,2260.8,2586.6,2586.6,2586.6,2586.6,2586.6
Orange,2574,2574,2574,2574,2574,2388.2,2388.2,2388.2,2388.2,2388.2,2120.2,2120.2,2120.2,2120.2,2120.2,2592.6,2592.6,2592.6,2592.6,2592.6
Pear,2803,2803,2803,2803,2803,2226.8,2226.8,2226.8,2226.8,2226.8,2293.2,2293.2,2293.2,2293.2,2293.2,2352,2352,2352,2352,2352
Quinoa,2348.4,2348.4,2348.4,2348.4,2348.4,2393.4,2393.4,2393.4,2393.4,2393.4,2661.2,2661.2,2661.2,2661.2,2661.2,2272,2272,2272,2272,2272
Radish,2536.4,2536.4,2536.4,2536.4,2536.4,2367.6,2367.6,2367.6,2367.6,2367.6,2427.4,2427.4,2427.4,2427.4,2427.4,2343.6,2343.6,2343.6,2343.6,2343.6
Soy,2397.6,2397.6,2397.6,2397.6,2397.6,2147.2,2147.2,2147.2,2147.2,2147.2,2533.6,2533.6,2533.6,2533.6,2533.6,2596.6,2596.6,2596.6,2596.6,2596.6
Tomato,2530.4,2530.4,2530.4,2530.4,2530.4,2249.6,2249.6,2249.6,2249.6,2249.6,2549.8,2549.8,2549.8,2549.8,2549.8,2345.2,2345.2,2345.2,2345.2,2345.2
Vanilla,2699,2699,2699,2699,2699,2326.2,2326.2,2326.2,2326.2,2326.2,2266.6,2266.6,2266.6,2266.6,2266.6,2383.2,2383.2,2383.2,2383.2,2383.2
