rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Apple,1471319.9404761905,994790.3047619048,715428.6488095238,544354.4194444445,396240.24206349207,292127.67063492065,207817.79603174602,144006.7126984127,90973.82698412698,57372.055555555555,34830.423412698416,19252.559126984128,9538.694444444445,5013.646825396825,2085.256349206349,734.8666666666667,358.1857142857143,118.75,14,0
Banana,1118838.1773809523,922128.6726190476,728954.0714285715,572829.0496031746,457526.07936507935,356944.6722222222,268348.15555555554,198371.06746031746,137978.05436507936,89989.5638888889,57272.24365079365,35264.89722222222,21520.840476190475,10961.240476190476,5169.492857142857,2766.269047619048,1092.7857142857142,350.0833333333333,72.58333333333333,0
Cherry,763060.3214285715,768629.5904761904,712743.0273809524,617207.1968253969,515769.64801587304,424862.08253968257,343232.2988095238,264478.5904761905,197487.45238095237,139818.38333333333,95606.4630952381,61965.34523809524,37405.5496031746,22401.555555555555,11853.475793650794,5978.530952380952,2555.3380952380953,1054.2166666666667,244.93333333333334,24
Date,558505.9404761905,645272.8357142857,645886.1464285714,596699.9238095238,529229.255952381,467528.8988095238,392444.86626984127,323944.50436507934,253330.26984126985,195318.33174603173,137921.58412698412,95632.29007936508,61674.60555555556,38684.56031746032,23207.398412698414,12172.340476190477,5518.601190476191,2378.9797619047617,806.5,220.16666666666666
Eggplant,365082.86904761905,480770.3642857143,537146.5976190476,555078.6126984127,537831.1234126984,498889.2746031746,445876.0071428571,383618.1523809524,324762.2,257316.28214285715,197281.1511904762,145986.45,100696.47658730159,65166.113492063494,41891.065873015876,26329.461904761905,13656.421428571428,6242.317857142857,2270.275,486.78333333333336
Fig,250410.92857142858,359678.6523809524,447723.2690476191,499304.0265873016,509172.2123015873,491785.4277777778,467357.2742063492,427934.6849206349,377994.2968253968,318079.86468253966,255187.69801587303,196787.55634920634,141878.19523809524,99409.74880952381,66011.9261904762,40414.94880952381,21051.055952380953,10579.409523809523,4490.740476190476,1126.0833333333333
Grape,164837.29404761904,255756.21785714285,348862.9392857143,413171.2111111111,458758.0325396825,473334.64444444445,467824.1583333333,443840.37023809523,416550.50476190477,371113.81666666665,319401.53571428574,257150.9773809524,196608.4876984127,149169.72103174604,107249.73174603174,68972.65952380952,40048.19285714286,21514.05476190476,9231.05,2982.4
Hazelnut,111455.76785714286,186285.51071428572,261106.96904761906,330346.5626984127,397054.626984127,440067.8043650794,446760.28055555554,451057.9222222222,434658.8948412698,406066.2388888889,364888.31031746033,314755.24484126986,256793.1130952381,200508.54523809525,150827.08571428573,102103.5869047619,66352.28452380952,39919.183333333334,19001.317857142858,6368.75
Jalapeno,69892.20833333333,131522.4488095238,186609.76428571428,252983.8650793651,314444.40436507936,366225.2353174603,411139.84007936507,439789.78055555554,442521.21865079366,435031.0543650794,402442.7638888889,369819.1567460318,320936.00952380954,264865.2047619048,209077.73095238095,155941.3523809524,101133.41785714286,65799.22976190476,34127.33095238095,12075.983333333334
Kiwi,49810.85833333333,90438.60833333334,135125.58095238096,187479.64246031747,252813.06984126984,315164.57103174605,373171.84484126983,409552.68174603174,430391.9293650794,433437.17817460315,425173.126984127,403496.99484126986,362137.3023809524,317527.6488095238,264490.5035714286,203958.3142857143,152749.60119047618,100165.65476190476,57290.37619047619,22002.511904761905
